Nome,Genere,Diffusione
ABACO,M,3
ABBONDANZIO,M,3
ABBONDAZIO,M,4
ABBONDIO,M,3
ABDELKRIM,M,4
ABDELLAH,M,4
ABDENAGO,M,4
ABDON,M,4
ABDONE,M,4
ABELARDO,M,3
ABELE,M,3
ABELINO,M,3
ABERARDO,M,3
ABILIO,M,3
ABRAMINO,M,3
ABRAMO,M,2
ACCORSO,M,2
ACCURSIO,M,3
ACCURSO,M,4
ACHEROPITA,M,4
ACHILLE,M,1
ACHILLEO,M,3
ACHIROPITA,M,4
ACILIO,M,4
ACQUISTO,M,4
ACRISIO,M,4
ADALBERTO,M,3
ADALCISO,M,3
ADALGERIO,M,4
ADALGISIO,M,4
ADALGISO,M,3
ADALINDO,M,4
ADALIO,M,3
ADAMELLO,M,3
ADAMINO,M,3
ADAMO,M,2
ADASTRO,M,4
ADDAMIANO,M,4
ADDARIO,M,4
ADDIEGO,M,4
ADDOLORATO,M,3
ADDONIZIO,M,4
ADELAIDO,M,4
ADELASIO,M,4
ADELCHI,M,3
ADELCHIO,M,4
ADELCO,M,4
ADELELMO,M,4
ADELFINO,M,4
ADELFIO,M,4
ADELFO,M,4
ADELINDO,M,4
ADELINO,M,4
ADELIO,M,4
ADELISIO,M,4
ADELMARO,M,3
ADELMINO,M,4
ADELMIRO,M,4
ADELMO,M,3
ADELO,M,3
ADEMARO,M,3
ADEMIO,M,4
ADEMO,M,4
ADEN,M,4
ADEO,M,4
ADEODATO,M,4
ADERITO,M,4
ADERMO,M,4
ADIGE,M,3
ADIGRAT,M,4
ADILIO,M,4
ADIMARO,M,4
ADIMIRO,M,4
ADINO,M,4
ADINOLFO,M,4
ADIO,M,4
ADIUTO,M,4
ADIUTORE,M,3
ADMETO,M,3
ADO,M,4
ADOLFINO,M,3
ADOLFO,M,2
ADONE,M,3
ADONELLO,M,4
ADORANDO,M,4
ADORATO,M,4
ADORNINO,M,4
ADORNO,M,4
ADRASTO,M,4
ADREANO,M,4
ADRIAN,M,3
ADRIANO,M,1
ADRIENN,M,3
ADRIO,M,3
ADUILIO,M,3
ADUINO,M,3
ADUO,M,3
AFFORTUNATO,M,3
AFRICANO,M,3
AFRICO,M,3
AFRO,M,4
AFRODISIO,M,4
AGABIO,M,4
AGABITO,M,4
AGAMENNONE,M,3
AGAPIO,M,4
AGAPITO,M,4
AGATINO,M,3
AGATO,M,3
AGATOCLE,M,3
AGATONE,M,4
AGAZIO,M,4
AGENORE,M,4
AGEO,M,4
AGESILAO,M,3
AGGEO,M,4
AGIDE,M,4
AGILULFO,M,3
AGNELLO,M,3
AGNESIO,M,4
AGOSTINO,M,2
AGRICOLO,M,4
AGRIPPINO,M,3
AGRISIO,M,4
AGUINALDO,M,4
AHMED,M,4
AIACE,M,3
AICARDO,M,3
AIDO,M,4
AIMO,M,4
AIMONE,M,4
AIRALDO,M,4
AIUTO,M,4
ALADINO,M,3
ALAGHIERO,M,4
ALAMANNO,M,4
ALAMIRO,M,3
ALAN,M,2
ALARICO,M,3
ALBANINO,M,3
ALBANO,M,2
ALBERICO,M,2
ALBERIGO,M,3
ALBERINO,M,3
ALBERTINO,M,2
ALBERTO,M,1
ALBINO,M,2
ALBIO,M,3
ALBIONTE,M,3
ALBIZIO,M,3
ALBIZZO,M,3
ALBO,M,3
ALBOINO,M,3
ALCEO,M,4
ALCESTO,M,4
ALCIBIADE,M,3
ALCIDE,M,2
ALCIDIO,M,4
ALCIDO,M,4
ALCINO,M,4
ALCISO,M,4
ALDEBRANDO,M,3
ALDEGARDO,M,3
ALDEGONDO,M,4
ALDEMARO,M,3
ALDEMIO,M,4
ALDEMIRO,M,4
ALDEMO,M,3
ALDERANO,M,4
ALDERICO,M,4
ALDERIGO,M,4
ALDERINO,M,4
ALDERIO,M,4
ALDERO,M,4
ALDESINO,M,4
ALDIGHIERO,M,4
ALDIMARO,M,3
ALDIMIRO,M,3
ALDINO,M,3
ALDISIO,M,4
ALDIVIERO,M,4
ALDO,M,1
ALDOBRANDINO,M,3
ALDOBRANDO,M,2
ALDOINO,M,3
ALDOMIRO,M,4
ALDORINO,M,4
ALDOVINO,M,4
ALDUCCIO,M,3
ALDUINO,M,3
ALEALDO,M,4
ALEANDRO,M,2
ALEARCO,M,3
ALEARDO,M,3
ALEMANNO,M,3
ALEMARO,M,3
ALERAMO,M,3
ALERANO,M,3
ALERINO,M,3
ALESIO,M,3
ALESSANDRINO,M,3
ALESSANDRO,M,1
ALESSI,M,3
ALESSIO,M,1
ALEXANDRE,M,2
ALEXANDRU,M,3
ALFANO,M,3
ALFEO,M,3
ALFERINO,M,3
ALFERIO,M,3
ALFERO,M,3
ALFIE,M,3
ALFIERE,M,3
ALFIERI,M,2
ALFIERINO,M,3
ALFIERO,M,3
ALFINO,M,3
ALFIO,M,2
ALFO,M,4
ALFONSINO,M,3
ALFONSO,M,2
ALFONZO,M,3
ALFREDINO,M,3
ALFREDO,M,2
ALGEMIRO,M,4
ALGEO,M,4
ALGERI,M,4
ALGERINO,M,4
ALGERO,M,4
ALGHERO,M,4
ALGHISIO,M,3
ALGIMIRO,M,4
ALGISIO,M,4
ALGISO,M,4
ALIBERTO,M,4
ALIBRANDO,M,4
ALICIO,M,4
ALIDEO,M,4
ALIDO,M,4
ALIDORO,M,4
ALIGHIERO,M,3
ALIGI,M,3
ALIGIO,M,3
ALIMO,M,4
ALINDO,M,4
ALINO,M,4
ALIPIO,M,4
ALIPRANDO,M,4
ALIVIERO,M,4
